Title,Year,Genres,Rating,Runtime,Director,Writer,Actors,Plot,Language,Country
Horrible Bosses,2011,"Comedy, Crime",6.6,98,Seth Gordon,,"Jason Bateman, Charlie Day, Jason Sudeikis","For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",en,US
Monster High: Fright On!,2011,"Family, Animation, Fantasy",6.6,46,Victor Dal Chele,Mike Montesano,"Kate Higgins, Salli Saffioti, Debi Derryberry",See what happens when the student bodies of an all-vampire school and an all-werewolf school integrate with Monster High.,en,US
Monte Carlo,2011,"Adventure, Comedy, Romance",6.6,109,Thomas Bezucha,,"Selena Gomez, Katie Cassidy, Leighton Meester",Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,en,US
Hanna,2011,"Action, Thriller, Adventure",6.6,111,Joe Wright,,"Saoirse Ronan, Eric Bana, Cate Blanchett","Raised by her father, an ex-CIA agent, in the wilds of Finland, Hanna's upbringing has been geared to making her the perfect assassin. Sent into the world by her father on a mission, Hanna journeys across Europe, eluding agents dispatched after her by a ruthless intelligence operative. As she nears her ultimate target, Hanna faces startling revelations about her existence.",en,US
The Art of Getting By,2011,"Drama, Romance",6.6,83,Gavin Wiesen,Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano","George, a lonely and fatalistic teen who's made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.",en,US
Contagion,2011,"Drama, Thriller, Science Fiction",6.6,106,Steven Soderbergh,Scott Z. Burns,"Marion Cotillard, Matt Damon, Laurence Fishburne","As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",en,"AE, US"
Footloose,2011,"Drama, Music, Romance",6.594,113,Craig Brewer,,"Dennis Quaid, Kenny Wormald, Julianne Hough","Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.",en,US
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action, Fantasy",6.556,137,Rob Marshall,,"Johnny Depp, Penélope Cruz, Geoffrey Rush","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love — or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",en,US
Meek's Cutoff,2011,"Western, Drama",6.533,104,Kelly Reichardt,Jonathan Raymond,"Michelle Williams, Bruce Greenwood, Will Patton",A group of settlers traveling through the Oregon High Desert in 1845 find themselves stranded in harsh conditions.,en,US
Bridesmaids,2011,"Comedy, Romance",6.523,125,Paul Feig,,"Kristen Wiig, Maya Rudolph, Rose Byrne","Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.",en,US
